player_name,season,team,age,games_played,minutes_per_game,points_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,field_goal_pct,three_point_pct,free_throw_pct,plus_minus,all_star,prior_all_star_selections
Maurice Harkless,2021-22,SAC,29.0,47,18.4,4.6,2.4,0.5,0.6,0.5,0.7,0.459,0.307,0.714,-1.9,0,0
Max Strus,2021-22,MIA,26.0,68,23.3,10.6,3.0,1.4,0.4,0.2,0.8,0.441,0.41,0.792,2.5,0,0
Max Strus,2022-23,MIA,27.0,80,28.4,11.5,3.2,2.1,0.5,0.2,0.9,0.41,0.35,0.876,-1.8,0,0
Max Strus,2023-24,CLE,28.0,70,32.0,12.2,4.8,4.0,0.9,0.4,1.6,0.418,0.351,0.794,3.6,0,0
Maxi Kleber,2019-20,DAL,28.0,74,25.5,9.1,5.2,1.2,0.3,1.1,0.8,0.461,0.373,0.849,1.4,0,0
Maxi Kleber,2020-21,DAL,29.0,50,26.8,7.1,5.2,1.4,0.5,0.7,0.6,0.422,0.41,0.919,2.7,0,0
Maxi Kleber,2021-22,DAL,30.0,59,24.6,7.0,5.9,1.2,0.5,1.0,0.8,0.398,0.325,0.708,2.0,0,0
Maxi Kleber,2022-23,DAL,31.0,37,25.1,5.9,3.6,1.4,0.3,0.8,0.7,0.456,0.348,0.711,-1.2,0,0
Maxi Kleber,2023-24,DAL,32.0,43,20.3,4.4,3.3,1.6,0.4,0.7,0.7,0.432,0.348,0.702,2.9,0,0
Meyers Leonard,2019-20,MIA,28.0,51,20.3,6.1,5.1,1.1,0.3,0.3,0.8,0.509,0.414,0.643,1.5,0,0
Michael Carter-Williams,2019-20,ORL,28.0,45,18.5,7.2,3.3,2.4,1.1,0.5,1.2,0.427,0.293,0.832,0.5,0,0
Michael Carter-Williams,2020-21,ORL,29.0,31,25.8,8.8,4.5,4.2,0.8,0.5,2.2,0.389,0.246,0.613,-1.6,0,0
Michael Porter Jr.,2019-20,DEN,22.0,55,16.4,9.3,4.7,0.8,0.5,0.5,0.9,0.509,0.422,0.833,0.4,0,0
Michael Porter Jr.,2020-21,DEN,23.0,61,31.3,19.0,7.3,1.1,0.7,0.9,1.3,0.542,0.445,0.791,5.9,0,0
Michael Porter Jr.,2022-23,DEN,25.0,62,29.0,17.4,5.5,1.0,0.6,0.5,1.1,0.487,0.414,0.8,6.7,0,0
